id,kaynak,chunk_idx,soru,cevap,tip,baglam
1565981_c0006_104,1565981.pdf,6,İç kontrolün etkinliğine ilişkin bir görüş bildirmek amacıyla değil ama duruma uygun denetim prosedürlerini tasarlamak amacıyla denetimle ilgili iç kontrol değerlendirilmektedir?,"Evet, grupun iç kontrolünün etkinliğine ilişkin bir görüş bildirmek amacıyla değil ama duruma uygun denetim prosedürlerini tasarlamak amacıyla denetimle ilgili iç kontrol değerlendirilmektedir.",neden,"n sorumlulukları şunlardır:
Amacımız, bir bütün olarak konsolide finansal tabloların hata veya hile kaynaklı önemli yanlışlık içerip 
 
içermediğine ilişkin makul güvence elde etmek ve görüşümüzü içeren bir bağımsız denetçi raporu 
düzenlemektir. Sermaye Piyasası Kurulu'nca yayımlanan bağımsız denet"
1471462_c0007_417,1471462.pdf,7,İştiraklere Borçlar ne kadar oldu?,4.145,sayısal,".263.743
-3.978.507
İLİŞKİLİ TARAFLARA BORÇLAR
19
1.475.970
11.125.055
Ortaklara Borçlar
189.735
36.840
İştiraklere Borçlar
4.145
0
Bağlı Ortaklıklara Borçlar
0
0
Müşterek Yönetime Tabi Teşebbüslere Borçlar
0
0
Personele Borçlar
1.282.090
11.088.215
Diğer İlişkili Taraflara Borçlar
0
0
DİĞER BORÇLAR"
1467923_c0004_635,1467923.pdf,4,Nakit Akış Riskinden Korunma Kazançları (Kayıpları) ne kadar oldu?,-1.782.623,sayısal,"0.061
Riskten Korunma Kazançları (Kayıpları)
-1.782.623
-1.202.369
Nakit Akış Riskinden Korunma Kazançları (
Kayıpları)
-1.782.623
-1.202.369
Özkaynak Yöntemi ile Değerlenen Yatırımların Diğer
Kapsamlı Gelirinden Kar/Zararda Sınıflandırılacak 
Paylar
2.511.662
2.475.566
Kardan Ayrılan Kısıtlanmış Ye"
1472523_c0012_383,1472523.pdf,12,Temettü GELİRLERİ ne kadar oldu?,197.342,tarih," FAİZ GELİRİ VEYA GİDERİ
32.594.895
24.578.615
14.891.354
8.579.689
NET ÜCRET VE KOMİSYON GELİRLERİ VEYA GİDERLERİ
59.745.336
40.875.504
32.771.625
21.504.023
Alınan Ücret ve Komisyonlar
70.542.532
49.685.212
38.537.901
26.319.412
Gayri Nakdi Kredilerden
3.492.369
2.538.520
1.875.700
1.286.208
Diğer"
1445357_c0006_346,1445357.pdf,6,Nakit Akış Tablosu (Dolaylı Yöntem) neye göre hesaplanıyor?,"Nakit Akış Tablosu (Dolaylı Yöntem), Maddi ve Maddi Olmayan Duran Varlıkların Alımından Kaynaklanan Nakit Çıkışları, Maddi Duran Varlık Alımından Kaynaklanan Nakit Çıkışları, Verilen Nakit Avans ve Borçlar, Verilen Diğer Nakit Avans ve Borçlar, alınan Faiz, Diğer Nakit Girişleri (Çıkışları), Finansman Faaliyetlerinden Nakit Akışları, İşletmenin Kendi Paylarını ve diğer Özkaynağa Dayalı Araçlarını Almasıyla İlgili Nakit Çıkışları, Karşıılıklı İştirak Paylarındaki Değişimden Kaynaklanan Nakit Çıkışları, Borç Ödemelerine İlişkin Nakit Çıkışları, Kira Sözleşmelerinden Kaynaklanan Borç Ödemelerine İlişkin Nakit Çıkışları ve Yabancı Para Çevrim Farklarının Etkisinden Önce Nakit ve Nakit Benzeringindeki Net Artış (Azalış) hesaplanıyor.",karşılaştırma,"n Kaynaklanan Nakit 
Girişleri
10
24.749
14.181
Maddi ve Maddi Olmayan Duran Varlıkların Alımından 
Kaynaklanan Nakit Çıkışları
-970.643
-845.728
Maddi Duran Varlık Alımından Kaynaklanan Nakit 
Çıkışları
10
-969.382
-845.666
Nakit Akış Tablosu (Dolaylı Yöntem)

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
"
1475412_c0008_529,1475412.pdf,8,Dönem Net Karı (Zararı) Mutabakatı İle İlgili Düzeltmeler nedir?,600.617.036,sayısal,"an
Dipnot Referansı
Cari Dönem
01.01.2025 - 30.06.2025
Önceki Dönem
01.01.2024 - 30.06.2024
Nakit Akış Tablosu (Dolaylı Yöntem)
İŞLETME FAALİYETLERİNDEN NAKİT AKIŞLARI
-42.747.019
1.500.568.525
Dönem Karı (Zararı)
-225.738.465
-693.762.465
Sürdürülen Faaliyetlerden Dönem Karı (Zararı)
-225.738.465
-"
1566011_c0008_962,1566011.pdf,8,Yönetimin kullanılan muhasebe politiklerinin uygunluğu ile yapılan muhasebe tahminilerinin ve ilgili açıklamaların makul olup olmadığı nasıl değerlendirilmekte?,Yönetimin kullanılan muhasebe politiklarının uygunluğu ile yapılan muhasebe tahminilerinin ve ilgili açıklamaların makul olup olmadığı değerlendirilmektedir.,neden," BDS'lere uygun olarak yürütülen bir bağımsız denetimin gereği olarak, bağımsız denetim boyunca mesleki 
muhakememizi kullanmakta ve mesleki şüpheciliğimizi sürdürmekteyiz. Tarafımızca ayrıca:
· Konsolide finansal tablolardaki hata veya hile kaynaklı ""önemli yanlışlık"" riskleri belirlenmekte ve değe"
1564740_c0004_288,1564740.pdf,4,"Bağımsız denetim çalışmalarımız sırasında, değerleme raporunda yer alan ve tespit edilen gayrimenkul değeri üzerinde önemli etkisi olan girdilerden kira sözleşmelerinin süresi ne kadar önemlidir?","Kira sözleşmelerinin süresi, doluluk oranları ve giderler gibi girdiler test edilmiştir.",karşılaştırma,"in belirlenmesinde emsal 
karşılaştırma ve indirgenmiş nakit akımı gibi 
yöntemler kullanılmaktadır ve bu yöntemler gerçeğe 
uygun değer tespiti sırasında değişimlere yol 
açabilecek reel iskonto, enflasyon gibi önemli 
varsayımlara dayalı girdiler içermektedir. Gerçeğe 
uygun değerler; piyasa koşul"
1512392_c0003_142,1512392.pdf,3,45.835.258 ile 41.782.150 arasında ne kadar fark var?,3.052.108,sayısal,"orçlanmaların Kısa Vadeli Kısımları
45.835.258
41.782.150
Banka Kredileri
21.698.621
19.640.930
İhraç Edilmiş Borçlanma Araçları
24.136.637
22.141.220
Ticari Borçlar
19.227.422
28.548.390
İlişkili Taraflara Ticari Borçlar
463.288
1.203.994
İlişkili Olmayan Taraflara Ticari Borçlar
18.764.134
27.344."
1119934_c0001_817,1119934.pdf,1,01/01/2022-31/12/2022 hesap dönemine ilişkin tam set konsolide finansal tabloları hakkında ne gibi görüşü bulunduğunu sorulursa?,27 Şubat 2023 tarihli denetçi raporumuzda olumlu görüş bildirmiş bulunuyoruz.,sayısal,"n olarak Grup'tan bağımsız olduğumuzu beyan ederiz. Etik Kurallar ve mevzuat kapsamındaki etiğe ilişkin 
diğer sorumluluklar da tarafımızca yerine getirilmiştir. Bağımsız denetim sırasında elde ettiğimiz bağımsız denetim kanıtlarının, görüşümüzün oluşturulması için 
yeterli ve uygun bir dayanak oluş"
1566087_c0011_808,1566087.pdf,11,Yatırım Faaliyetlerinden Gelirler 24'üne bakın. Bu geliri neye bağlıdır?,Bu geliri Finansman Gelirleri 25'e bağlıdır.,karşılaştırma,"AS FAALİYET KARI (ZARARI)
11.707.541.095
20.807.220.975
Yatırım Faaliyetlerinden Gelirler
24
2.850.935.452
1.782.644.241
Yatırım Faaliyetlerinden Giderler
24
-1.499.897
-53.666.827
Özkaynak Yöntemiyle Değerlenen Yatırımların Karlarından (
Zararlarından) Paylar
3
138.572.919
93.148.490
FİNANSMAN GELİ"
1477891_c0014_681,1477891.pdf,14,Opsiyonların Zaman Değerindeki Değişiklikler neye neden oldu?,"Değişiklikler, şirketin finansal politikalarını ve risk management stratijilerini değiştirdi.",neden,"ç / 
Kayıpları
Opsiyonların Zaman Değerindeki 
Değişiklikler
Geçmiş Yıllar Kar / 
Zararları
Net Dönem Karı 
Zararı
Maddi Duran Varlık Yeniden Değerleme Artışları/
Azalışları
Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları/
Kayıpları
Nakit Akış Riskinden Korunma Kazançları (
Kayıpları)
Yurtdışınd"
1549019_c0010_781,1549019.pdf,10,Motorlu Taşıtlar değer düşüklüğü karşılığı ne kadar?,23.067.630,sayısal,"ar Sermaye Taahhütleri (-)
0
0
Müşterek Yönetime Tabi Teşebbüsler
0
0
Müşterek Yönetime Tabi Teşebbüsler Sermaye 
Taahhütleri (-)
0
0
Finansal Varlıklar Ve Riski Sigortalılara Ait Finansal 
Yatırımlar
0
0
Diğer Finansal Varlıklar
0
0
Finansal Varlıklar Değer Düşüklüğü Karşılığı (-)
0
0
MADDİ VARLIKL"
1477885_c0000_513,1477885.pdf,0,30 Haziran 2025 tarihi itibarıyla hazırlanan ara dönem faaliyet raporunda yer alan konsolide finansal bilgilerin sınırlı denetimden geçmiş ve 13 Ağustos 2025 tarihli sınırlı denetim raporuna konu olan ara dönem özet konsolide finansal tablolar ile tutarlı olup olmadığına ilişkin ulaşılan sonucun açıklanması nedir?,"Sınırlı denetim, Ara Dönem Finansal Bilgilerin, İşletmenin Yıllık Finansal Tablolarının Bağımsız Denetimini Yürüten Denetçi Tarafından Sınırlı Bağımsız Denetimi uygun olarak yürütülmüştür.",neden,"30.06.2025 Ara Dönem Faaliyet Raporu
NETAŞ TELEKOMÜNİKASYON A.Ş.
Faaliyet Raporu (Konsolide)
2025 - 2. 3 Aylık Bildirim
KAMUYU AYDINLATMA PLATFORMU
Özet Bilgi
KAP'ta yayınlanma tarihi ve saati: 13.08.2025 19:58:27
https://www.kap.org.tr/tr/Bildirim/1477885

Bağımsız Denetim Kuruluşu
KPMG BAĞIMSIZ DE"
1511255_c0002_572,1511255.pdf,2,Maddi Duran Varlıklar ne kadar oldu?,129.907.914,sayısal,"eğerlenen Yatırımlar
12
135.963.125
138.668.565
Yatırım Amaçlı Gayrimenkuller
4.251.474
4.298.481
Maddi Duran Varlıklar
129.907.914
126.056.239
Yeraltı ve Yerüstü Düzenlemeleri
13
3.603.702
3.515.822
Binalar
13
31.790.632
30.828.085
Tesis, Makine ve Cihazlar
13
58.009.185
49.810.994
Taşıtlar
13
441."
1469240_c0006_829,1469240.pdf,6,MADDİ DURAN VARLIKLAR (Net) ne kadardir?,36.109.205,sayısal,"
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Özkaynak Yöntemine Göre Değerlenenler
1.701.813
10.224.349
11.926.162
1.506.670
7.820.018
9.326.688
Konsolide Edilmeyenler
239.256
239.256
38.446
38.446
Bağlı Ortaklıklar (Net)
1.10
32.316
0
32.316
32.316
0
32.316
Konsolide Edilmeyen Mali Ortaklık"
1477177_c0003_874,1477177.pdf,3,Uzun vadeli borçlanmaların kısa vadeli kısımları ne kadar?,9.300.669,sayısal,"şlemlerinden Borçlar
7a
0
0
İhraç Edilmiş Borçlanma Araçları
8.349.071
4.246.269
Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları
9.300.669
10.760.212
İlişkili Olmayan Taraflardan Uzun Vadeli 
Borçlanmaların Kısa Vadeli Kısımları
9.300.669
10.760.212
Banka Kredileri
7a
3.789.254
4.390.473
Kiralama İ"
1515783 (1)_c0009_660,1515783 (1).pdf,9,3.202.500 ile 8.448.698 arasındaki fark ne?,5.246.198,sayısal,"zalış
Kontrol Gücü Olmayan Pay Sahipleriyle Yapılan 
İşlemler
Pay Sahiplerinin Diğer Katkıları
Nakit Akış Riskinden Korunma Kazançları (Kayıpları
) Kaleminden Çıkarılan ve Finansal Olmayan 
Varlığın (Yükümlülüğün) veya Gerçeğe Uygun Değer
Riskinden Korunma Muhasebesi Uygulanan Kesin 
Taahhüdün Başla"
1595647_c0014_302,1595647.pdf,14,Esas Faaliyetler Sonucu Oluşan Nakit 1.778.126.642 TL'dir.,"Bu rakam, esas faaliyetler sonucu oluşan nakitin bir kısmını temsil etmektedir.",sayısal,"ı (-)
0
0
Esas Faaliyetler Sonucu Oluşan Nakit
331.730.072
1.778.126.642
Faiz Ödemeleri (-)
0
0
Gelir Vergisi Ödemeleri (-)
-2.354.678.461
-751.649.615
Diğer Nakit Girişleri
357.560.024
203.456.370
Diğer Nakit Çıkışları (-)
-4.001.859.330
-1.639.593.485
Esas Faaliyetlerden Kaynaklanan Net Nakit
-5.6"
1595642_c0000_504,1595642.pdf,0,Kamuyu Aydınlatma platformunda yayınlanan 2026 1. çeyrek konsolide olmayan finansal tabloların sunum para birimi nedir?,TL,sayısal,"2026 1. Çeyrek Konsolide Olmayan Finansal Tablolar
TÜRKİYE SİGORTA A.Ş.
Sigorta Şirketleri Finansal Rapor
Konsolide Olmayan 
2026 - 1. 3 Aylık Bildirim
KAMUYU AYDINLATMA PLATFORMU
Finansal Tablolara ilişkin Genel Açıklama
KAP'ta yayınlanma tarihi ve saati: 20.04.2026 18:11:52
https://www.kap.org.tr/"
1512473_c0008_213,1512473.pdf,8,Neden arttı Diğer Kefaletlerimizden geliri?,Farklı faktörler reasons ile arttı,neden,"
Diğer Cirolar
0
0
0
0
0
0
Diğer Garantilerimizden
0
43.917
43.917
0
49.294
49.294
Diğer Kefaletlerimizden
107.336
0
107.336
178.212
0
178.212
TAAHHÜTLER
(Beşinci Bölüm-III) (1)
20.011.983
6.972.811
26.984.794
11.042.295
1.341.379
12.383.674
Cayılamaz Taahhütler
19.967.483
6.972.811
26.940.294
10.99"
1475250_c0015_450,1475250.pdf,15,Yatırım Faaliyetlerinden Kaynaklanan Net Nakit Akışları ne kadar?,-2.167.363,sayısal,"0
0
Vadesi Gelmiş Borçlarda Net Artış (Azalış)
0
0
Diğer Borçlarda Net Artış (Azalış)
22.337.595
-4.069.552
Bankacılık Faaliyetlerinden Kaynaklanan Net Nakit Akışı
-9.992.087
-5.244.390
YATIRIM FAALİYETLERİNE İLİŞKİN NAKİT AKIŞLARI
Yatırım Faaliyetlerinden Kaynaklanan Net Nakit Akışları
-4.433.329
-"
1513423_c0012_211,1513423.pdf,12,Nasıl değişti défter değerleri?,Defter değerleri 2.807.808.245 ile 52.398.997 arasında değiştirdi.,karşılaştırma,"unma Muhasebesi Uygulanan Kesin 
Taahhüdün Başlangıç Maliyetine veya Defter 
Değerine Dahil Edilen Tutar
Diğer Değişiklikler Nedeni İle Artış (Azalış)
Dönem Sonu Bakiyeler
500.000.000
2.807.808.245
-16.940.770
190.922.726
-58.284.906
-20.799.159
-1.912.715.324
52.398.997
3.486.697.746
-681.916.305
4"
1477828_c0002_630,1477828.pdf,2,Ticari Alacaklar ne kadar?,17.383.924,sayısal,"evduatlar
3.284.579
2.403.336
Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılan 
Finansal Varlıklar
45.893.657
43.872.518
Gerçeğe Uygun Değer Farkı Kar/Zarara Yansıtılarak 
Ölçülen Diğer Finansal Varlıklar
7
45.893.657
43.872.518
Gerçeğe Uygun Değer Farkı Diğer Kapsamlı Gelire 
Yansıtılan Finansal Var"
1508070_c0015_757,1508070.pdf,15,Neden varlıklarda değer artışı oldu?,"Varlıkların giá trịinde artış, ihracat ve ithalatın artmasıyla ilgili olarak gerçekleşti.",neden,"29.470
0
-91.529.470
Varlıklarda Değer Artışı
11, 15
0
0
-73.313.716
0
0
0
0
0
0
0
-73.313.716
0
-73.313.716
Yabancı Para Çevrim Farkları
0
0
0
0
0
0
0
0
0
0
0
0
0
Diğer Kazanç ve Kayıplar
0
0
0
0
0
0
0
0
-12.623.499
0
-12.623.499
0
-12.623.499
Enflasyon Düzeltme Farkları
0
0
0
0
0
0
0
0
0
0
0
0
0
D"
1475197_c0006_205,1475197.pdf,6,Hangi faktörler reasonsen Dönem Kari (Zararı)'nın artmasına neden oldu?,Bu dönemde şirketin genel performansı düşmüştür ve daha fazla risk alındığı için bu durum ortaya çıkmıştır.,neden,"46.366.211
Ertelenmiş Vergi (Gideri) Geliri
20
-266.667.372
-559.588.694
780.434.650
-38.887.949
SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI (ZARARI)
-254.215.694
-2.470.211.682
1.316.176.417
-1.252.210.816
DÖNEM KARI (ZARARI)
-254.215.694
-2.470.211.682
1.316.176.417
-1.252.210.816
Dönem Karının (Zararının) "
1511255_c0000_139,1511255.pdf,0,Nakit ve Nakit Benzerleri için 2025 yılına ait rakam ne kadar?,139.277.129 TL,sayısal,"30 Eylül 2025 Konsolide Finansal Tablolar
HACI ÖMER SABANCI HOLDİNG A.Ş.
Holding Finansal Rapor
Konsolide
2025 - 3. 3 Aylık Bildirim
KAMUYU AYDINLATMA PLATFORMU
Finansal Tablolara ilişkin Genel Açıklama
KAP'ta yayınlanma tarihi ve saati: 04.11.2025 18:16:13
https://www.kap.org.tr/tr/Bildirim/1511255"
1468847 (1)_c0004_302,1468847 (1).pdf,4,4.205.423 ne kadar satış amaçlı hedefle ilgili information var mı?,Satış Amaçlı,sayısal,".084
Satış Amaçlı
4.205.423
41.508
4.246.931
3.756.800
50.284
3.807.084
Durdurulan Faaliyetlere İlişkin
0
0
0
0
0
0
ORTAKLIK YATIRIMLARI
15.086.853
504.718
15.591.571
8.821.160
190.908
9.012.068
İştirakler (Net)
5.1.10
211.409
37
211.446
171.876
29
171.905
Bilanço (Finansal Durum Tablosu) (TFRS 9'a "
1122450_c0014_633,1122450.pdf,14,5.838 ile 1.139 arasındaki fark ne kadar?,4.699,sayısal,"95
5.838
İlişkili Taraflardan Ertelenmiş Gelirler (Müşteri 
Sözleşmelerinden Doğan Yükümlülüklerin Dışında 
Kalanlar)
0
1.139
İlişkili Olmayan Taraflardan Ertelenmiş Gelirler (
Müşteri Sözleşmelerinden Doğan Yükümlülüklerin 
Dışında Kalanlar)
6.095
4.699
Uzun Vadeli Karşılıklar
2.758.758
1.230.410

"
1561039_c0019_487,1561039.pdf,19,20.024.831 -99.510 rakamını ne ifade eder?,-99.510,sayısal,"
20.024.831
20.024.831
-99.510
19.925.321
Diğer Kapsamlı Gelir (Gider)
0
0
0
0
0
0
0
0
0
0
0
0
523.408
0
0
-340.772
0
182.636
0
0
0
0
0
182.636
-
259.209
0
0
0 0
0
-641.237
0
-641.237
0
0
0
0
0
-900.446
0
0
0
0
0
0
0
-717.810
0
-717.810
Sermaye Arttırımı
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0"
1599075_c0009_490,1599075.pdf,9,Gelir Tablosu'ndaki Gerçekleşen Tazminatlar (Reasürör Payı Düşülmüş Olarak) ne kadar oldu?,-15.596.459.253,sayısal,"nem
01.01.2025 - 31.03.2025
Gelir Tablosu
I-TEKNİK BÖLÜM
HAYAT DIŞI TEKNİK GELİR
27.036.343.383
17.367.132.960
Kazanılmış Primler (Reasürör Payı Düşülmüş Olarak)
5
19.170.475.759
12.805.556.560
Yazılan Primler (Reasürör Payı Düşülmüş Olarak)
17
23.253.464.225
17.883.214.349
Brüt Yazılan Primler (+)
"
1480299_c0027_828,1480299.pdf,27,Dönem başı nakit ve nakit benzerleri ne kadar idi?,15.426 TL,sayısal,"ENFLASYON ETKİSİ
0
0
YABANCI PARA ÇEVRİM FARKLARININ ETKİSİNDEN ÖNCE NAKİT 
VE NAKİT BENZERLERİNDEKİ NET ARTIŞ (AZALIŞ)
5.040
6.256
Yabancı Para Çevrim Farklarının Nakit ve Nakit Benzerleri 
Üzerindeki Etkisi
0
0
NAKİT VE NAKİT BENZERLERİNDEKİ NET ARTIŞ (AZALIŞ)
5.040
6.256
DÖNEM BAŞI NAKİT VE NAKİT"
1569763_c0008_570,1569763.pdf,8,Nasıl değişti şirketin kısa vadeli yükümlülükleri?,Şirketin kısa vadeli yükümlülükleri 20.000 ile 37.231.541 arasında değiştirdi.,karşılaştırma,"er Kısa Vadeli Yükümlülükler
20
567.711
718.689
ARA TOPLAM
35.289.768
37.231.541
TOPLAM KISA VADELİ YÜKÜMLÜLÜKLER
35.289.768
37.231.541
UZUN VADELİ YÜKÜMLÜLÜKLER
Uzun Vadeli Borçlanmalar
6
39.807.777
42.847.532
Uzun Vadeli Karşılıklar
2.411.558
2.195.068
Çalışanlara Sağlanan Faydalara İlişkin Uzun V"
1468847 (1)_c0005_551,1468847 (1).pdf,5,Faaliyetlerimize Iliskin Düzenli Varlik Borçları (Net) tutarları ne kadar oldu?,25.735.494,tarih,".165.020.757
3.002.579.379
YÜKÜMLÜLÜKLER
MEVDUAT
5.2.1
1.467.851.480
1.212.197.495
2.680.048.975
1.251.197.662
903.149.980
2.154.347.642
ALINAN KREDİLER
5.2.2
11.372.073
79.286.772
90.658.845
8.122.667
59.994.106
68.116.773
PARA PİYASALARINA BORÇLAR
5.2.3
76.195.512
63.800.354
139.995.866
14.341.779"
1552722_c0018_861,1552722.pdf,18,Nasıl değişti Kiralama Faiz Giderleri?,Önceki yıla göre %617.341 azaldı.,karşılaştırma,".052.716
-27.212.781
Kiralama Faiz Giderleri
-1.107.252
-617.341
Diğer Faiz Giderleri
4.2.5
-697.702
-1.940.016
NET FAİZ GELİRİ VEYA GİDERİ
161.083.211
88.646.632
NET ÜCRET VE KOMİSYON GELİRLERİ VEYA GİDERLERİ
116.456.761
77.698.428
Alınan Ücret ve Komisyonlar
176.276.383
117.248.888
Gayri Nakdi Kre"
1109581_c0017_904,1109581.pdf,17,Neden arttı 39.801.098 bakiyeler?,Muhasebe politikalarındaki değişikliklere ilişkin düzeltmelerden sonra bu tutar obtained,neden,"
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Varlığın (
Yükümlülüğün) veya 
Gerçeğe Uygun Değer
Riskinden Korunma 
Muhasebesi 
Uygulanan Kesin 
Taahhüdün 
Başlangıç Maliyetine 
veya Defter Değerine 
Dahil Edilen Tutar
0
Diğer Değişiklikler 
Nedeni İle Artış (
Azalış)
0
Dönem Sonu 
Bakiyeler
3.063.214
"
